-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, 1.052262f, 1.166816f,
1.752315f, 2.821487f, 2.821487f, 1.485022f, 0.759513f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, 1.726859f, 2.796030f, 2.796030f, 2.796030f, 2.796030f, 2.796030f, 2.796030f,
2.350542f, -0.042366f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, 1.726859f, 2.796030f, 2.796030f, 2.796030f,
2.286901f, 1.383196f, 1.815956f, 2.796030f, 2.796030f, 1.128631f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, 0.237655f,
2.757846f, 2.796030f, 2.248716f, -0.016909f, -0.271474f, -0.424213f, -0.347844f, 2.197803f,
2.796030f, 1.357740f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, 0.555861f, 2.770574f, 2.248716f, -0.106007f, -0.424213f,
-0.424213f, -0.424213f, 1.128631f, 2.732389f, 2.796030f, 0.403122f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.029638f, -0.195105f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, 2.235988f, 2.796030f,
2.796030f, 0.403122f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, 1.064990f, 2.719661f, 2.796030f, 2.095977f, -0.296931f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, 0.543133f, 2.719661f, 2.796030f, 2.516009f,
0.377666f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
1.205001f, 2.796030f, 2.796030f, 1.408653f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, 1.815956f, 2.706933f, 2.796030f, 1.599576f, -0.271474f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.106007f, 2.554194f,
2.796030f, 2.541466f, 0.021275f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, 2.095977f, 2.796030f, 2.796030f, 1.370468f, -0.424213f, -0.424213f,
